drXP_024422721.2	drXP_024422721.2
drXP_024422721.2	ajXP_037002255.2
drXP_024422721.2	pnCAK6450225.1
drXP_024422721.2	rfXP_032970534.1
drXP_024422721.2	phXP_045708222.1
drXP_024422721.2	efXP_008155175.1
drXP_024422721.2	paXP_006921588.1
drXP_024422721.2	pkXP_036299221.1
drXP_024422721.2	pvXP_011382167.1
drXP_024422721.2	mbXP_005872886.1
drXP_024422721.2	mlXP_006082141.1
drXP_024422721.2	sbXP_066105386.1
drXP_024422721.2	raXP_015989020.2
drXP_024422721.2	mmXP_036160516.1
drXP_024422721.2	pdXP_028378229.1
drXP_024422721.2	moXP_036126585.1
drXP_024422721.2	mdXP_059535902.1
drXP_053780525.1	drXP_053780525.1
drXP_053780525.1	ajXP_053512281.1
drXP_053780525.1	pdXP_035877466.1
drXP_053780525.1	drXP_053780526.1
drXP_053780525.1	pdXP_035877467.1
drXP_053780525.1	pkXP_036289987.1
drXP_053780525.1	drXP_053780531.1
drXP_053780525.1	pdXP_028368305.1
drXP_053780525.1	pkXP_045436204.1
drXP_053780525.1	ajXP_053512280.1
drXP_053780525.1	pdXP_035877468.1
drXP_053780525.1	phXP_045696746.1
drXP_053780525.1	ajXP_053512281.1
drXP_053780525.1	pdXP_035877466.1
drXP_053780525.1	mbXP_005869664.1
drXP_053780525.1	paXP_006918419.1
drXP_053780525.1	pdXP_035877467.1
drXP_053780525.1	mbXP_005869664.1
drXP_053780525.1	paXP_006918419.1
drXP_053780525.1	pdXP_028368305.1
drXP_053780525.1	mlXP_023611325.1
drXP_053780525.1	paXP_006918419.1
drXP_053780525.1	pdXP_035877468.1
drXP_053780525.1	mbXP_005869664.1
drXP_053780525.1	phXP_045696746.1
drXP_053780525.1	mdXP_059512618.1
drXP_053780525.1	mmXP_036187082.1
drXP_053780525.1	mdXP_059512618.1
drXP_053780525.1	mmXP_036187082.1
drXP_053780525.1	pdXP_035877466.1
drXP_053780525.1	mmXP_036187082.1
drXP_053780525.1	pdXP_035877467.1
drXP_053780525.1	drXP_053780525.1
drXP_053780525.1	drXP_053780525.1
drXP_053780525.1	pdXP_028368305.1
drXP_053780525.1	drXP_053780526.1
drXP_053780525.1	drXP_053780526.1
drXP_053780525.1	pdXP_035877468.1
drXP_053780525.1	phXP_045696746.1
drXP_053780525.1	pnCAK6434032.1
drXP_053780525.1	drXP_053780531.1
drXP_053780525.1	drXP_053780531.1
drXP_053780525.1	efXP_054583256.1
drXP_053780525.1	pnCAK6434032.1
drXP_053780525.1	efXP_054583256.1
drXP_053780525.1	pgXP_039731127.1
drXP_053780525.1	pnCAK6434032.1
drXP_053780525.1	pgXP_039731083.1
drXP_053780525.1	pgXP_039730990.1
drXP_053780525.1	pkXP_036289987.1
drXP_053780525.1	pgXP_039731127.1
drXP_053780525.1	pkXP_045436204.1
drXP_053780525.1	pgXP_039731083.1
drXP_053780525.1	pgXP_039730990.1
drXP_053780525.1	pkXP_036289987.1
drXP_053780525.1	pkXP_045436204.1
drXP_053780525.1	mdXP_059512618.1
drXP_053780525.1	pgXP_039731127.1
drXP_053780525.1	pgXP_039731083.1
drXP_053780525.1	rfXP_032979786.1
drXP_053780525.1	pgXP_039730990.1
drXP_053780525.1	rfXP_032979784.1
drXP_053780525.1	sbXP_066113379.1
drXP_053780525.1	rfXP_032979786.1
drXP_053780525.1	sbXP_066113379.1
drXP_053780525.1	mlXP_023611325.1
drXP_053780525.1	rfXP_032979784.1
drXP_053780525.1	sbXP_066113379.1
drXP_053780525.1	mlXP_023611325.1
drXP_053780525.1	ajXP_053512280.1
drXP_053780525.1	efXP_054583256.1
drXP_053780525.1	ajXP_053512281.1
drXP_053780525.1	rfXP_032979786.1
drXP_053780525.1	ajXP_053512280.1
drXP_053780525.1	rfXP_032979784.1
drXP_053780525.1	raXP_036095284.1
drXP_053780525.1	raXP_036095285.1
drXP_053780525.1	raXP_036095284.1
drXP_053780525.1	raXP_036095285.1
