brEPQ01439.1	2
brEPQ01471.1	3
brEPQ01471.1	25638
brEPQ01471.1	74734
brEPQ01471.1	79040
brEPQ01471.1	101560
brEPQ01471.1	105866
brEPQ01471.1	110172
brEPQ01471.1	114478
brEPQ01471.1	118784
brEPQ01471.1	127396
brEPQ01503.1	4
brEPQ01535.1	5
brEPQ01599.1	7
brEPQ01599.1	27375
brEPQ01599.1	31682
brEPQ01599.1	35989
brEPQ01599.1	40296
brEPQ01599.1	44603
brEPQ01599.1	48910
brEPQ01599.1	53217
brEPQ01599.1	54255
brEPQ01599.1	57524
brEPQ01599.1	58562
brEPQ01599.1	61831
brEPQ01599.1	67176
brEPQ01599.1	70445
brEPQ01599.1	71483
brEPQ01599.1	75790
brEPQ01631.1	8
brEPQ01631.1	15118
brEPQ01631.1	31328
brEPQ01631.1	35635
brEPQ01631.1	39942
brEPQ01631.1	44249
brEPQ01631.1	45267
brEPQ01631.1	52863
brEPQ01631.1	57170
brEPQ01631.1	65784
brEPQ01631.1	72778
brEPQ01631.1	81391
brEPQ01631.1	84235
brEPQ01631.1	85697
brEPQ01631.1	87477
brEPQ01631.1	90003
brEPQ01631.1	91012
brEPQ01631.1	91783
brEPQ01631.1	94309
brEPQ01631.1	96089
brEPQ01631.1	98615
brEPQ01631.1	102921
brEPQ01631.1	107227
brEPQ01631.1	111533
brEPQ01631.1	115839
brEPQ01663.1	9
brEPQ01759.1	12
brEPQ01855.1	15
brEPQ01983.1	19
brEPQ02015.1	20
brEPQ02047.1	21
brEPQ02111.1	23
brEPQ02111.1	39650
brEPQ02111.1	78264
brEPQ02111.1	114735
brEPQ02111.1	2763
brEPQ02111.1	5047
brEPQ02111.1	7070
brEPQ02111.1	11377
brEPQ02111.1	17671
brEPQ02111.1	30888
brEPQ02111.1	43810
brEPQ02111.1	86877
brEPQ02111.1	119041
brEPQ02111.1	123347
brEPQ02111.1	125629
brEPQ02111.1	131959
brEPQ02111.1	136265
brEPQ02143.1	24
brEPQ02207.1	26
brEPQ02239.1	27
brEPQ02335.1	30
brEPQ02559.1	37
brEPQ02655.1	40
brEPQ02687.1	41
brEPQ02687.1	33619
brEPQ02687.1	35162
brEPQ02687.1	43776
brEPQ02687.1	37926
brEPQ02687.1	42233
brEPQ02687.1	50847
brEPQ02687.1	121210
brEPQ02687.1	48083
brEPQ02687.1	55154
brEPQ02687.1	56697
brEPQ02687.1	59461
brEPQ02687.1	69618
brEPQ02687.1	78231
brEPQ02687.1	104033
brEPQ02687.1	121257
brEPQ02719.1	42
brEPQ02783.1	44
brEPQ02815.1	45
brEPQ02847.1	46
brEPQ02847.1	17045
brEPQ02847.1	100651
brEPQ02847.1	74815
brEPQ02847.1	8431
brEPQ02847.1	12738
brEPQ02847.1	83427
brEPQ02847.1	87733
brEPQ02847.1	92039
brEPQ02847.1	96345
brEPQ02847.1	103178
brEPQ02847.1	107484
brEPQ02847.1	111790
brEPQ02847.1	116096
brEPQ02847.1	120402
brEPQ02847.1	124708
brEPQ02847.1	129014
brEPQ02847.1	133320
